"Listing Id","Listing Name","Page Name","Amount Per Stay"
2322786,"BHIMAS INN -Puratchi Thalaivar Dr M G Ramachandran Central Railway Station Chennai","bhimas-inn","₹ 1,320"
13465686,"sun city","suncitystarinn-chennai",""
734214,"City Home","city-home-chennai",""
11300554,"Santhi Bhavan, Chennai Central","santhi-inn-chennai-central",""
10429812,"Hotel City Tower, Chennai Central","city-chennai","₹ 2,600"
11381642,"Akash stay","akash-stay",""
10463908,"Al Noor Residency Business Class Hotel","al-noor-residency-business-class",""
3814926,"Horizon Inn","horizon-inn",""
12838856,"FabHotel Nestlay Rooms High Court - Nr Madras High Court","fabhotel-nestlay-rooms-high-court","₹ 3,635.68"
5565457,"Hotel O Jayanthi Mansion","spot-on-46343-jayanthi-mansion-spot","₹ 1,293.58"
11696794,"Royal Paris","royal-paris-chennai1",""
10935347,"Hotel Zain Grande","zain-grande-chennai","₹ 1,824.90"
5096419,"Liza Regency","liza-regency",""
8836995,"Sheraton Grande at Puratchi Thalaivar Dr MGR Central Railway Station","sheraton-grande",""
2167109,"Orion Residency","orion-residency-chennai",""
368064,"Hotel Pearl International","pearl-international",""
5504343,"Grand Oliver","grand-oliver",""
9305104,"CENTRAL GATE","central-gate-chennai","₹ 940.50"
8131835,"Greens Suite - Business Class Hotel - Opposite Ripon Building","greens-suite",""
3911238,"The Hydel Park - Business Class Hotel - Near Central Railway Station","the-hydel-park",""
5378676,"Hotel Park Tower","oyo-44958-park-tower",""
6874205,"SKM REGENCY","skm-regency",""
4414723,"GRAND ELEGANT","grand-elegant",""
2324341,"4U Business Hotel","4u-business",""
2012452,"Grand Cascade Chennai","grand-cascade-chennai",""
9952014,"THE PARK AVENUE HOTEL - Business Class Hotel Near Central Railway Station Chennai Periyamet","the-park-avenue",""
7130227,"Hotel O Golden Cafe","oyo-flagship-79152-golden-cafe","₹ 3,427.26"
10166921,"Aum Karthikeya Residency - Near Chennai Railway Station","aum-karthikeya-residency",""
8685912,"Grand tower Chennai","grand-tower-chennai",""
12979787,"Super Hotel O INN11 Near Central Station","o-inn11-near-central-station","₹ 2,219.16"
11133141,"GREENS ELITE","greens-elite",""
10409480,"Hotel Sunpark Inn","sunpark-inn-chennai","₹ 1,600"
12927039,"Sri Tirumalaa Hotel","sri-tirumalaa",""
13688318,"4 Seasonz Residency","4-seasonz-residency",""
11091306,"Hotel AK International - Chennai","ak-international-chennai",""
13629716,"ANL Residency","anl-residency","₹ 1,200"
4086931,"FabHotel Chennai Palace - Nr Chennai Beach Railway Station","oyo-16775-subaithal-residency-chennai1","₹ 2,860"
13297624,"Green Chity","green-chity","₹ 1,600"
5500640,"Hotel Joyce","joyce",""
1743013,"FabHotel The Green City - Central Railway Station","the-green-city","₹ 3,456.70"
2026623,"Hotel O Park Town Near Nehru Stadium","golden-manor-chennai","₹ 2,479.37"
7848118,"Royal Regency","railotel-lifeotel-by-crossway",""
11784172,"GREENS INN near Madras High Court and Harbour Chennai Port","greens-inn-chennai",""
4269648,"SM MANSION near Harbour & High court","smmansion",""
2535663,"GP Mansion","gp-mansion",""
429613,"Ramada Chennai Egmore","comfort-inn-marina-towers",""
285291,"Fortel","fortel-chennai","₹ 6,999"
11019462,"Hotel Sharma Residency Chennai Egmore","sharma-residency-chennai-egmore",""
13692745,"Hotel O Choolai Near Chennai Railway Station","o-choolai-near-chennai-railway-station","₹ 3,167.05"
1488743,"The Mount Regency","the-mount-regency",""
